Hour,Price (UAH/MWh),Sales Volume (MWh),Purchase Volume (MWh),Declared Sales Volume (MWh),Declared Purchase Volume (MWh)
1,2850.00,1241.7,1241.7,1878.3,1241.7
2,2000.00,892.6,892.6,1835.4,892.6
3,2520.00,891.8,891.8,2003.2,891.8
4,500.00,814.5,814.5,2088.0,815.9
5,350.00,797.6,797.6,2109.8,799.8
6,2650.00,892.8,892.8,2084.6,892.8
7,1499.00,986.8,986.8,2159.9,990.9
8,4189.00,1252.3,1252.3,2447.5,1257.0
9,4189.00,1500.8,1500.8,2688.4,1500.8
10,2200.00,1790.4,1790.4,3081.8,1790.4
11,2195.00,1645.7,1645.7,3304.9,1655.0
12,2195.00,1759.9,1759.9,3506.3,1770.6
13,1880.00,1568.9,1568.9,3453.0,1568.9
14,1880.00,1529.4,1529.4,3335.3,1541.6
15,1800.00,1584.4,1584.4,3054.8,1584.4
16,1880.00,1580.3,1580.3,2752.1,1580.3
17,5295.00,1839.6,1839.6,2507.5,1854.8
18,5250.00,1697.8,1697.8,2227.7,1697.8
19,5100.00,1664.1,1664.1,2332.5,1664.1
20,6990.00,1724.3,1724.3,2395.1,1724.3
21,6990.00,1832.1,1832.1,2642.2,1842.4
22,6683.00,1697.2,1697.2,2601.7,1697.2
23,5550.00,1556.2,1556.2,2620.2,1556.2
24,2919.54,1476.7,1476.7,1972.4,1476.7
